1,Berechnung der kritischen Feldstärke beim OMEN 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Zusatzblatt 2 (Daten der Antenne),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Adresse,Wehntalerstrasse 464 / 8046 Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Höhenkote 0 (d.h. wie hoch ist das Fundament über Meer) [m],462.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Zone Antenne,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Winkel des OMEN vertikal [in°] (zur kritischen Senderichtung),-39.00,-43.00,-59.00,-45.00,-45.00,-61.00,-51.00,-55.00,-71.00,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
319,Richtungsabschwächung horizontal [dB]  per StDb,22.3,19.8,0,28.3,22.1,0,29.5,21.1,0,,,,,,,16,,,,,,,,,,,,,,
320,Richtungsabschwächung horizontal [dB],22.30,19.80,0.00,28.30,22.10,0.00,29.50,21.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
329,Richtungsabschwächung vertikal [dB]  per StDb,15.8,16.3,19.6,16.7,15.9,10.9,24.6,29.6,20.5,,,,,,,16,,,,,,,,,,,,,,
330,Richtungsabschwächung vertikal [dB],15.8,16.3,19.6,16.7,15.9,10.9,24.6,29.6,20.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,Richtungsabschwächung total [dB],30.0,30.0,19.6,30.0,30.0,10.9,30.0,30.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Richtungsabschwächung total [als Faktor],1000.0,1000.0,91.2,1000.0,1000.0,12.3,1000.0,1000.0,112.2,1.0,1.0,1.0,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,Bauweise der Gebäudehülle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
370,Gebäudedämpfung [in dB],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
380,Gebäudedämpfung (als Faktor),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,1.0,1.0
390,Feldstärkebeitrag [in V/m],0.92,1.18,5.48,1.57,1.86,21.44,1.00,1.24,4.57,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
400,Feldstärkebeitrag im Quadrat,0.85,1.39,30.03,2.48,3.48,459.59,0.99,1.55,20.92,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,,,
410,Elektrische Feldstärke der Anlage beim,OMEN 1,22.83,V/m =,1'383,mW/m2 =,2095%,,,,,,,,,,,,,,,,,,,,,,,,
